Case ID,Case Title,Case Type,Case Status,Case Assigned To,Case Start Date,Case Close Date,Parties Involved,Case Documents,Case Tasks,Case Notes
PI001,Point lose name space quite.,Product Liability,In Progress,Kathryn Love,2022-04-15,2022-11-16,[],"[{'Case ID': 'PI001', 'Document ID': 3134, 'Document Name': 'when.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI001', 'Document ID': 46389, 'Document Name': 'social.pdf', 'Document Type': 'Agreement'}, {'Case ID': 'PI001', 'Document ID': 66125, 'Document Name': 'people.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI001', 'Document ID': 43033, 'Document Name': 'Experience doctor suggest teacher choice.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2022, 11, 12), 'Created By': 'Alyssa Tucker', 'Date Last Modified': datetime.date(2023, 2, 19), 'Last Modified By': 'Joe Pearson'}, {'Case ID': 'PI001', 'Document ID': 54451, 'Document Name': 'Machine PM in push.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2022, 8, 28), 'Created By': 'Jason Anderson', 'Date Last Modified': datetime.date(2022, 9, 20), 'Last Modified By': 'Christopher Carter'}]","[{'Case ID': 'PI001', 'Task ID': 86352, 'Task Description': 'Hair individual become truth why.', 'Assigned To': 'Joe Watson', 'Task Due Date': datetime.date(2022, 5, 15), 'Task Status': 'Pending'}]","[{'Case ID': 'PI001', 'Note ID': 56934, 'Note Content': 'Dinner trial message system. Debate card next discover.', 'Created By': 'Timothy Kelley', 'Date Created': datetime.date(2022, 8, 22)}]"
PI002,Program enough central describe able professional method land.,Product Liability,Open,Alan Chang,2022-09-21,2023-05-17,[],"[{'Case ID': 'PI002', 'Document ID': 18839, 'Document Name': 'executive.pdf', 'Document Type': 'Medical Report'}, {'Case ID': 'PI002', 'Document ID': 31947, 'Document Name': 'Wall usually.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2022, 12, 7), 'Created By': 'Kristine Horne', 'Date Last Modified': datetime.date(2023, 1, 26), 'Last Modified By': 'Joseph Smith'}, {'Case ID': 'PI002', 'Document ID': 35305, 'Document Name': 'Course rate game option.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2022, 11, 23), 'Created By': 'Angela Smith', 'Date Last Modified': datetime.date(2023, 1, 4), 'Last Modified By': 'Robert Jones'}, {'Case ID': 'PI002', 'Document ID': 58320, 'Document Name': 'Feeling goal everyone.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2022, 10, 4), 'Created By': 'Kimberly Rosales', 'Date Last Modified': datetime.date(2023, 2, 3), 'Last Modified By': 'Christopher Li'}]","[{'Case ID': 'PI002', 'Task ID': 39872, 'Task Description': 'Individual economic answer hair positive military price.', 'Assigned To': 'Joshua Chung', 'Task Due Date': datetime.date(2022, 10, 22), 'Task Status': 'Pending'}, {'Case ID': 'PI002', 'Task ID': 62805, 'Task Description': 'Least nothing thousand teacher number claim which.', 'Assigned To': 'Matthew Curry', 'Task Due Date': datetime.date(2023, 5, 4), 'Task Status': 'Completed'}, {'Case ID': 'PI002', 'Task ID': 88024, 'Task Description': 'Opportunity computer politics that structure suggest return.', 'Assigned To': 'Mark Johnson', 'Task Due Date': datetime.date(2023, 3, 7), 'Task Status': 'Pending'}]","[{'Case ID': 'PI002', 'Note ID': 47768, 'Note Content': 'Husband answer themselves manager. Think could hair huge student. Specific need lose moment natural in.', 'Created By': 'Jacqueline Donaldson', 'Date Created': datetime.date(2023, 4, 2)}, {'Case ID': 'PI002', 'Note ID': 74049, 'Note Content': 'One east today class thus set. Necessary kind represent start. Between give room pull heavy.', 'Created By': 'Shane Copeland', 'Date Created': datetime.date(2023, 3, 4)}]"
PI003,Around term outside mother notice almost goal.,Slip and Fall,In Progress,Mr. Joseph Jones MD,2022-08-19,2023-04-23,[],"[{'Case ID': 'PI003', 'Document ID': 81209, 'Document Name': 'never.pdf', 'Document Type': 'Agreement'}, {'Case ID': 'PI003', 'Document ID': 13433, 'Document Name': 'understand.pdf', 'Document Type': 'Agreement'}, {'Case ID': 'PI003', 'Document ID': 84227, 'Document Name': 'available.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI003', 'Document ID': 92130, 'Document Name': 'Least meeting manage interview protect.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2022, 11, 26), 'Created By': 'Andrew Garcia', 'Date Last Modified': datetime.date(2023, 2, 5), 'Last Modified By': 'Ronald Walker'}, {'Case ID': 'PI003', 'Document ID': 96783, 'Document Name': 'Majority paper evidence.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2022, 12, 9), 'Created By': 'Samantha Evans', 'Date Last Modified': datetime.date(2023, 4, 29), 'Last Modified By': 'Tamara Ramirez'}, {'Case ID': 'PI003', 'Document ID': 54425, 'Document Name': 'Myself lot network.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2023, 1, 26), 'Created By': 'Sandra Walker MD', 'Date Last Modified': datetime.date(2023, 2, 16), 'Last Modified By': 'Nicole Brewer'}, {'Case ID': 'PI003', 'Document ID': 29922, 'Document Name': 'Concern mouth season record.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2023, 4, 21), 'Created By': 'Amanda Steele DDS', 'Date Last Modified': datetime.date(2023, 4, 25), 'Last Modified By': 'Chelsea Nunez'}]","[{'Case ID': 'PI003', 'Task ID': 14346, 'Task Description': 'Leave blood teach company.', 'Assigned To': 'Daniel Morris', 'Task Due Date': datetime.date(2022, 11, 2), 'Task Status': 'Pending'}, {'Case ID': 'PI003', 'Task ID': 9431, 'Task Description': 'Window present network relationship analysis evidence stand bed environment conference.', 'Assigned To': 'Margaret Brown', 'Task Due Date': datetime.date(2023, 3, 23), 'Task Status': 'Pending'}]","[{'Case ID': 'PI003', 'Note ID': 16357, 'Note Content': 'Environment dark training tonight under argue. Report such about friend just. Project little society subject nor.', 'Created By': 'Nicholas Leblanc', 'Date Created': datetime.date(2022, 9, 23)}]"
PI004,Authority interest religious through almost right by listen.,Slip and Fall,Open,Roger Jenkins,2023-01-10,2023-04-04,[],"[{'Case ID': 'PI004', 'Document ID': 87743, 'Document Name': 'more.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI004', 'Document ID': 18953, 'Document Name': 'case.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI004', 'Document ID': 56498, 'Document Name': 'week.pdf', 'Document Type': 'Medical Report'}, {'Case ID': 'PI004', 'Document ID': 25113, 'Document Name': 'Fine pay bit.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2023, 2, 24), 'Created By': 'Melanie Hanson', 'Date Last Modified': datetime.date(2023, 3, 10), 'Last Modified By': 'Gabrielle Frazier'}, {'Case ID': 'PI004', 'Document ID': 6044, 'Document Name': 'View personal.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2023, 1, 19), 'Created By': 'Randall Rose', 'Date Last Modified': datetime.date(2023, 4, 27), 'Last Modified By': 'Elizabeth Arnold'}]","[{'Case ID': 'PI004', 'Task ID': 74205, 'Task Description': 'Simple interest network even discuss store suffer just as never.', 'Assigned To': 'David Jackson', 'Task Due Date': datetime.date(2023, 4, 2), 'Task Status': 'Completed'}]","[{'Case ID': 'PI004', 'Note ID': 71727, 'Note Content': 'Tell school direction cell tend fine interesting. Born participant music marriage fine former. Word quickly world spend.', 'Created By': 'Thomas Hoover', 'Date Created': datetime.date(2023, 3, 21)}]"
PI005,Great thousand for suddenly three house.,Product Liability,Closed,Wendy Brown,2022-09-23,2023-02-26,[],"[{'Case ID': 'PI005', 'Document ID': 62619, 'Document Name': 'civil.pdf', 'Document Type': 'Agreement'}, {'Case ID': 'PI005', 'Document ID': 62928, 'Document Name': 'Power song join bad.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2022, 11, 12), 'Created By': 'Roger Wu', 'Date Last Modified': datetime.date(2022, 12, 1), 'Last Modified By': 'Jacob Kerr'}, {'Case ID': 'PI005', 'Document ID': 78786, 'Document Name': 'Side fight provide response issue.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2022, 10, 30), 'Created By': 'Susan Nguyen', 'Date Last Modified': datetime.date(2023, 1, 1), 'Last Modified By': 'Jessica Vance'}, {'Case ID': 'PI005', 'Document ID': 20262, 'Document Name': 'Indicate with middle.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2023, 1, 27), 'Created By': 'Alyssa Robinson', 'Date Last Modified': datetime.date(2023, 3, 23), 'Last Modified By': 'Christopher Freeman'}]","[{'Case ID': 'PI005', 'Task ID': 6008, 'Task Description': 'Economic buy full own recently factor.', 'Assigned To': 'Michael Baker', 'Task Due Date': datetime.date(2022, 12, 25), 'Task Status': 'Pending'}, {'Case ID': 'PI005', 'Task ID': 46794, 'Task Description': 'Bag top west result real word democratic industry second.', 'Assigned To': 'Darin Garcia', 'Task Due Date': datetime.date(2022, 10, 11), 'Task Status': 'Pending'}]","[{'Case ID': 'PI005', 'Note ID': 34568, 'Note Content': 'Phone difference pick street offer positive language per. Somebody arrive final style fall talk. Seven song book care she cold.', 'Created By': 'Laura Hansen', 'Date Created': datetime.date(2022, 11, 10)}, {'Case ID': 'PI005', 'Note ID': 80941, 'Note Content': 'Work shake see remain. Grow believe challenge year.', 'Created By': 'Jerry Kelly', 'Date Created': datetime.date(2022, 11, 10)}, {'Case ID': 'PI005', 'Note ID': 1737, 'Note Content': 'Customer if recognize impact society. Spring room blue. Such after role test.', 'Created By': 'Thomas Smith', 'Date Created': datetime.date(2022, 12, 6)}, {'Case ID': 'PI005', 'Note ID': 54016, 'Note Content': 'In professional nation. Common black indeed more. Government either maybe head less identify memory.', 'Created By': 'April Wilson', 'Date Created': datetime.date(2023, 1, 20)}]"
PI006,Head east early exist few lawyer over might.,Slip and Fall,Closed,Christine Giles,2021-06-15,2023-01-13,[],"[{'Case ID': 'PI006', 'Document ID': 51579, 'Document Name': 'red.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI006', 'Document ID': 61210, 'Document Name': 'Bill various necessary.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2022, 1, 12), 'Created By': 'Patricia Baker', 'Date Last Modified': datetime.date(2022, 10, 3), 'Last Modified By': 'Mark Murillo'}]","[{'Case ID': 'PI006', 'Task ID': 80704, 'Task Description': 'As ever soldier statement pattern fight.', 'Assigned To': 'Amy Cohen', 'Task Due Date': datetime.date(2022, 8, 3), 'Task Status': 'Pending'}, {'Case ID': 'PI006', 'Task ID': 51185, 'Task Description': 'Animal listen if guess huge against agree cultural technology the somebody.', 'Assigned To': 'Amber Calderon', 'Task Due Date': datetime.date(2022, 2, 27), 'Task Status': 'Pending'}]","[{'Case ID': 'PI006', 'Note ID': 65822, 'Note Content': 'Send he machine million movie left return. Conference along know nature similar spring. North rock sign.', 'Created By': 'Shannon Nielsen', 'Date Created': datetime.date(2021, 12, 18)}, {'Case ID': 'PI006', 'Note ID': 46391, 'Note Content': 'Decision weight to key will response available. Call send guy south dog suffer project. Say throw certain message good site.', 'Created By': 'Sandra Johnson', 'Date Created': datetime.date(2022, 3, 16)}, {'Case ID': 'PI006', 'Note ID': 69726, 'Note Content': 'Single event consumer return wrong home. Business remember those shoulder wife week. Often security full accept laugh personal member.', 'Created By': 'Shannon Webb', 'Date Created': datetime.date(2022, 10, 18)}, {'Case ID': 'PI006', 'Note ID': 21743, 'Note Content': 'Professional project from whether police television performance. Yet simple offer think item million.', 'Created By': 'Colleen Williams', 'Date Created': datetime.date(2022, 5, 21)}, {'Case ID': 'PI006', 'Note ID': 83383, 'Note Content': 'Reveal different red by reduce. Society force fight suddenly. Similar behavior industry boy relationship sort kind near.', 'Created By': 'Stephen Anderson', 'Date Created': datetime.date(2021, 11, 13)}]"
PI007,Decision institution others party draw various.,Motor Vehicle Accident,Closed,Mark Crawford,2022-04-24,2022-06-10,[],"[{'Case ID': 'PI007', 'Document ID': 238, 'Document Name': 'serve.pdf', 'Document Type': 'Medical Report'}, {'Case ID': 'PI007', 'Document ID': 38251, 'Document Name': 'over.pdf', 'Document Type': 'Medical Report'}, {'Case ID': 'PI007', 'Document ID': 50133, 'Document Name': 'Word good wear bill direction.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2022, 5, 27), 'Created By': 'Katherine Rios', 'Date Last Modified': datetime.date(2022, 10, 14), 'Last Modified By': 'Brandon Williams'}]","[{'Case ID': 'PI007', 'Task ID': 37138, 'Task Description': 'Why chair our itself society way along wonder lot with.', 'Assigned To': 'Dr. Katrina Baxter DVM', 'Task Due Date': datetime.date(2022, 5, 28), 'Task Status': 'Completed'}, {'Case ID': 'PI007', 'Task ID': 77803, 'Task Description': 'Improve successful here boy ever free.', 'Assigned To': 'Keith Garcia', 'Task Due Date': datetime.date(2022, 5, 12), 'Task Status': 'Completed'}]","[{'Case ID': 'PI007', 'Note ID': 66258, 'Note Content': 'Early activity operation wish hard. Car matter nearly pressure whether.', 'Created By': 'Edward Phillips', 'Date Created': datetime.date(2022, 5, 26)}]"
PI008,Officer vote away be act this.,Product Liability,Open,Brian Rush,2023-01-18,2023-02-27,[],"[{'Case ID': 'PI008', 'Document ID': 36909, 'Document Name': 'establish.pdf', 'Document Type': 'Agreement'}, {'Case ID': 'PI008', 'Document ID': 30308, 'Document Name': 'low.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI008', 'Document ID': 65606, 'Document Name': 'Want war huge.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2023, 2, 12), 'Created By': 'Renee Allen', 'Date Last Modified': datetime.date(2023, 3, 17), 'Last Modified By': 'Laura Hicks'}, {'Case ID': 'PI008', 'Document ID': 40149, 'Document Name': 'Marriage although news join.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2023, 2, 5), 'Created By': 'Rachel Ayers', 'Date Last Modified': datetime.date(2023, 5, 22), 'Last Modified By': 'Patricia Jackson'}, {'Case ID': 'PI008', 'Document ID': 74700, 'Document Name': 'Allow if left outside.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2023, 2, 20), 'Created By': 'Mary Williams', 'Date Last Modified': datetime.date(2023, 3, 10), 'Last Modified By': 'Jay Henry'}, {'Case ID': 'PI008', 'Document ID': 10308, 'Document Name': 'Song again hot size.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2023, 2, 16), 'Created By': 'Nicholas Romero', 'Date Last Modified': datetime.date(2023, 5, 12), 'Last Modified By': 'Curtis Graham'}]","[{'Case ID': 'PI008', 'Task ID': 72885, 'Task Description': 'Exist blood measure small cold worker herself wall create somebody.', 'Assigned To': 'John Weaver', 'Task Due Date': datetime.date(2023, 1, 27), 'Task Status': 'Pending'}, {'Case ID': 'PI008', 'Task ID': 23707, 'Task Description': 'Those purpose test station play leader.', 'Assigned To': 'Manuel Ward', 'Task Due Date': datetime.date(2023, 2, 18), 'Task Status': 'Completed'}]","[{'Case ID': 'PI008', 'Note ID': 37948, 'Note Content': 'Prepare science player man after goal. Realize particular bar individual more fast.', 'Created By': 'Joseph Pace', 'Date Created': datetime.date(2023, 1, 18)}, {'Case ID': 'PI008', 'Note ID': 57238, 'Note Content': 'Happen site join happen degree blue evidence manage. Amount technology Republican anything career edge become modern.', 'Created By': 'Bethany Hanson', 'Date Created': datetime.date(2023, 1, 30)}, {'Case ID': 'PI008', 'Note ID': 25538, 'Note Content': 'Many protect behavior. Grow security this political leave. Study culture direction stand across sure special.', 'Created By': 'Sean Burns', 'Date Created': datetime.date(2023, 2, 26)}]"
PI009,Much will give reduce clearly age.,Product Liability,Open,Brianna Miles,2023-05-15,2023-05-18,[],"[{'Case ID': 'PI009', 'Document ID': 35929, 'Document Name': 'specific.pdf', 'Document Type': 'Agreement'}, {'Case ID': 'PI009', 'Document ID': 55298, 'Document Name': 'tell.pdf', 'Document Type': 'Medical Report'}, {'Case ID': 'PI009', 'Document ID': 83278, 'Document Name': 'her.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI009', 'Document ID': 30755, 'Document Name': 'about.pdf', 'Document Type': 'Medical Report'}, {'Case ID': 'PI009', 'Document ID': 17554, 'Document Name': 'summer.pdf', 'Document Type': 'Agreement'}, {'Case ID': 'PI009', 'Document ID': 35785, 'Document Name': 'Response manager center look later.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2023, 5, 16), 'Created By': 'Taylor Ortiz', 'Date Last Modified': datetime.date(2023, 5, 16), 'Last Modified By': 'Judy Jenkins'}, {'Case ID': 'PI009', 'Document ID': 32207, 'Document Name': 'Alone economic leg what.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2023, 5, 15), 'Created By': 'Joseph Summers', 'Date Last Modified': datetime.date(2023, 5, 19), 'Last Modified By': 'Gabriel Blair'}, {'Case ID': 'PI009', 'Document ID': 51897, 'Document Name': 'Enter child.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2023, 5, 16), 'Created By': 'Thomas Hines', 'Date Last Modified': datetime.date(2023, 5, 28), 'Last Modified By': 'Sandra Estrada'}, {'Case ID': 'PI009', 'Document ID': 7230, 'Document Name': 'Particular left degree mother.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2023, 5, 17), 'Created By': 'Melissa Decker', 'Date Last Modified': datetime.date(2023, 5, 28), 'Last Modified By': 'Joshua Rivas'}, {'Case ID': 'PI009', 'Document ID': 54526, 'Document Name': 'Quickly middle natural war health.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2023, 5, 15), 'Created By': 'Heather Carlson', 'Date Last Modified': datetime.date(2023, 5, 16), 'Last Modified By': 'Natalie Williams'}]","[{'Case ID': 'PI009', 'Task ID': 15984, 'Task Description': 'Specific left great grow remain process.', 'Assigned To': 'Carolyn Young', 'Task Due Date': datetime.date(2023, 5, 17), 'Task Status': 'Pending'}, {'Case ID': 'PI009', 'Task ID': 5623, 'Task Description': 'Discussion energy type miss medical forward because increase force.', 'Assigned To': 'Nicole Clayton', 'Task Due Date': datetime.date(2023, 5, 16), 'Task Status': 'Completed'}, {'Case ID': 'PI009', 'Task ID': 93852, 'Task Description': 'Plant ability amount consider section always people admit list turn.', 'Assigned To': 'Michael Grant', 'Task Due Date': datetime.date(2023, 5, 17), 'Task Status': 'Completed'}]","[{'Case ID': 'PI009', 'Note ID': 85996, 'Note Content': 'Table identify ever agency. Meeting fly customer pick young.', 'Created By': 'Jessica Smith', 'Date Created': datetime.date(2023, 5, 15)}, {'Case ID': 'PI009', 'Note ID': 22370, 'Note Content': 'Defense happy film Democrat effort. Huge play after represent find about role candidate.', 'Created By': 'Don Garner', 'Date Created': datetime.date(2023, 5, 16)}, {'Case ID': 'PI009', 'Note ID': 92742, 'Note Content': 'Lawyer unit serious. Black poor great significant type. Far building shoulder sister no now study.', 'Created By': 'Maria Walker', 'Date Created': datetime.date(2023, 5, 17)}, {'Case ID': 'PI009', 'Note ID': 33463, 'Note Content': 'Clearly blue position really culture toward television human. Do close everything issue short later.', 'Created By': 'Alyssa Meyer', 'Date Created': datetime.date(2023, 5, 17)}, {'Case ID': 'PI009', 'Note ID': 98639, 'Note Content': 'With data beyond notice consumer hard. House think maintain structure choose these. Me want whatever heart poor relate executive mean. Program why mother.', 'Created By': 'Susan Russell', 'Date Created': datetime.date(2023, 5, 15)}]"
PI010,Air national air return million.,Motor Vehicle Accident,Closed,Kathy Mann,2021-12-09,2022-04-29,[],"[{'Case ID': 'PI010', 'Document ID': 72925, 'Document Name': 'measure.pdf', 'Document Type': 'Medical Report'}, {'Case ID': 'PI010', 'Document ID': 69781, 'Document Name': 'fact.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI010', 'Document ID': 61002, 'Document Name': 'reach.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI010', 'Document ID': 25662, 'Document Name': 'gas.pdf', 'Document Type': 'Agreement'}, {'Case ID': 'PI010', 'Document ID': 66882, 'Document Name': 'there.pdf', 'Document Type': 'Medical Report'}, {'Case ID': 'PI010', 'Document ID': 47991, 'Document Name': 'Peace chance send.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2022, 3, 18), 'Created By': 'Willie Vaughn', 'Date Last Modified': datetime.date(2022, 11, 15), 'Last Modified By': 'Heather Levine'}]","[{'Case ID': 'PI010', 'Task ID': 32022, 'Task Description': 'Thank hold worker find lose effort particularly magazine.', 'Assigned To': 'Judy Lindsey', 'Task Due Date': datetime.date(2022, 3, 22), 'Task Status': 'Completed'}, {'Case ID': 'PI010', 'Task ID': 82077, 'Task Description': 'Appear bad material meeting check star.', 'Assigned To': 'Ronald Anthony', 'Task Due Date': datetime.date(2022, 2, 28), 'Task Status': 'Completed'}]","[{'Case ID': 'PI010', 'Note ID': 80586, 'Note Content': 'Together store hope suggest official fine final. Head help nearly issue.', 'Created By': 'Terry Smith', 'Date Created': datetime.date(2022, 1, 14)}]"
